Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
branding-starter,Branding — Starter,<p>Ideal for getting started with basic needs.</p><p>Branding — Starter includes:</p><ul><li>Logo design (2 initial concepts&#44; 1 revision).</li><li>Basic brand style guide (logo usage&#44; primary colors).</li><li>Business card design (print-ready file).</li><li>Digital files : Provided in PNG&#44; JPEG&#44; and PDF formats.</li></ul>,TRUE,https://mhmdigital.us/images/services/branding-graphic-design.svg,,,,,,,339,,FALSE,FALSE,,branding-starter,,,,,,,FALSE,,,,Branding — Starter | MHM Digital,Ideal for getting started with basic needs.
branding-growth,Branding — Growth,<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Branding — Growth includes:</p><ul><li>Logo design (3 initial concepts&#44; 2 revisions).</li><li>Comprehensive brand style guide (logo&#44; colors&#44; fonts).</li><li>Business card and letterhead design (print-ready files).</li><li>Social media profile image design.</li><li>Basic stationery design (envelopes).</li><li>Brand Guidelines : Basic guide (logo&#44; colors&#44; and fonts only).</li><li>Digital Files : Provided in PNG&#44; JPEG&#44; SVG&#44; and PDF formats.</li></ul>,TRUE,https://mhmdigital.us/images/services/branding-graphic-design.svg,,,,,,,759,,FALSE,FALSE,,branding-growth,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:48,2026-10-01 06:59,Branding — Growth | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
branding-ultimate,Branding — Ultimate,<p>For those seeking the best&#44; most complete package.</p><p>Branding — Ultimate includes:</p><ul><li>Premium logo design (unlimited concepts and revisions).</li><li>Full brand identity package (style guide&#44; logo variations&#44; color palette&#44; typography&#44; iconography).</li><li>Complete stationery set (business cards&#44; letterheads&#44; envelopes).</li><li>Social media kit (profile and banner images for 3 platforms).</li><li>Branded marketing materials (brochures&#44; flyers).</li><li>Presentation Templates: Branded PowerPoint/Google Slides templates.</li><li>Email Signature: Custom HTML or image-based signature with social media links.</li><li>Brand Guidelines: Comprehensive guide covering all brand aspects&#44; including voice and messaging.</li><li>Brand launch consultation and strategy session.</li><li>Digital Files: Provided in AI&#44; EPS&#44; PNG&#44; JPEG&#44; and PDF formats.</li></ul>,TRUE,https://mhmdigital.us/images/services/branding-graphic-design.svg,,,,,,,1459,,FALSE,FALSE,,branding-ultimate,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:48,2026-10-01 06:59,Branding — Ultimate | MHM Digital,For those seeking the best&#44; most complete package.
web-design-and-development-starter,Web Design and Development — Starter,<p>Ideal for getting started with basic needs.</p><p>Web Design and Development — Starter includes:</p><ul><li>Up to 5-page website.</li><li>Security: Basic SSL certificate for secure browsing.</li><li>Built entirely from scratch — custom design tailored to your brand.</li><li>1-year hosting included.</li><li>Mobile-friendly layout.</li><li>Basic SEO setup (meta tags&#44; alt text).</li><li>Contact form integration.</li><li>One round of revisions.</li><li>Email: 2 professional email addresses (e.g.&#44; name@yourdomain.com).</li></ul>,TRUE,https://mhmdigital.us/images/services/website-design-development.svg,,,,,,,1639,,FALSE,FALSE,,web-design-and-development-starter,,,,,,,FALSE,,,,Web Design and Development — Starter | MHM Digital,Ideal for getting started with basic needs.
web-design-and-development-growth,Web Design and Development — Growth,<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Web Design and Development — Growth includes:</p><ul><li>Up to 8-page website.</li><li>Domain Name and Hosting.</li><li>Security: Basic SSL certificate for secure browsing.</li><li>Custom design built from scratch (unique layout&#44; tailored to brand).</li><li>CMS integration (WordPress or similar).</li><li>Advanced SEO setup (keywords&#44; speed optimization).</li><li>1-year hosting included.</li><li>Blog setup and basic training.</li><li>Social media integration.</li><li>Two rounds of revisions.</li><li>Email: up to 5 professional email addresses (e.g.&#44; name@yourdomain.com).</li><li>Support and Training: 1-hour training session on how to update the website content.</li></ul>,TRUE,https://mhmdigital.us/images/services/website-design-development.svg,,,,,,,2309,,FALSE,FALSE,,web-design-and-development-growth,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:48,2026-10-01 06:59,Web Design and Development — Growth | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
web-design-and-development-ultimate,Web Design and Development — Ultimate,<p>For those seeking the best&#44; most complete package.</p><p>Web Design and Development — Ultimate includes:</p><ul><li>Up to 18-page fully custom website.</li><li>No CMS&#44; coded from scratch for unique needs.</li><li>Advanced features (animations&#44; custom forms&#44; e-commerce setup).</li><li>1-year hosting included.</li><li>Email: Professional email setup (up to 10 accounts).</li><li>Full SEO optimization.</li><li>Three rounds of revisions.</li><li>Ongoing support for 3 months post-launch.</li><li>Support and Training: 1-hour training session on how to update the website content.</li></ul>,TRUE,https://mhmdigital.us/images/services/website-design-development.svg,,,,,,,5159,,FALSE,FALSE,,web-design-and-development-ultimate,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:48,2026-10-01 06:59,Web Design and Development — Ultimate | MHM Digital,For those seeking the best&#44; most complete package.
mobile-app-development-starter,Mobile App Development — Starter,<p>Ideal for getting started with basic needs.</p><p>Mobile App Development — Starter includes:</p><ul><li>Basic app for one platform (iOS or Android).</li><li>Core features (e.g.&#44; user login&#44; simple UI&#44; basic functionalities).</li><li>Standard design template.</li><li>Basic analytics integration.</li><li>One round of revisions.</li></ul>,TRUE,https://mhmdigital.us/images/services/mobile-app-development.svg,,,,,,,4859,,FALSE,FALSE,,mobile-app-development-starter,,,,,,,FALSE,,,,Mobile App Development — Starter | MHM Digital,Ideal for getting started with basic needs.
mobile-app-development-growth,Mobile App Development — Growth,<p>Designed for businesses looking to expand and enhance their web presence.</p><p>Mobile App Development — Growth includes:</p><ul><li>Multi-platform app (iOS and Android).</li><li>Standard features (push notifications&#44; user profiles&#44; database integration).</li><li>Custom UI/UX design.</li><li>API integration (e.g.&#44; social login&#44; payment gateway).</li><li>Intermediate analytics and reporting.</li><li>Two rounds of revisions.</li></ul>,TRUE,https://mhmdigital.us/images/services/mobile-app-development.svg,,,,,,,9359,,FALSE,FALSE,,mobile-app-development-growth,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:48,2026-10-01 06:59,Mobile App Development — Growth | MHM Digital,Designed for businesses looking to expand and enhance their web presence.
mobile-app-development-ultimate,Mobile App Development — Ultimate,<p>For those seeking the best&#44; most complete package.</p><p>Mobile App Development — Ultimate includes:</p><ul><li>Advanced app with full custom features (geolocation&#44; advanced user interaction).</li><li>Multi-platform (iOS&#44; Android) and web app if needed.</li><li>Advanced UI/UX design with animations.</li><li>Full backend development and integration.</li><li>1-year support and maintenance.</li><li>Advanced analytics&#44; performance tracking&#44; and optimization.</li><li>Three rounds of revisions.</li></ul>,TRUE,https://mhmdigital.us/images/services/mobile-app-development.svg,,,,,,,17359,,FALSE,FALSE,,mobile-app-development-ultimate,,,,,,,TRUE,10% off — ends Sep 30,2026-09-08 01:48,2026-10-01 06:59,Mobile App Development — Ultimate | MHM Digital,For those seeking the best&#44; most complete package.
social-media-marketing-starter-monthly,Digital Marketing › Social Media Marketing — Starter (Monthly),<p>Ideal for getting started with basic needs.</p><p>Digital Marketing › Social Media Marketing — Starter includes:</p><ul><li>Management of 1-2 social media profiles.</li><li>10 posts per month with basic graphics.</li><li>Monthly performance report.</li></ul>,TRUE,https://mhmdigital.us/images/services/social-media-management.svg,Billing,Monthly,,,,,129,,FALSE,FALSE,,social-media-marketing-starter-monthly,,,,,,,FALSE,,,,Digital Marketing › Social Media Marketing — Starter — Monthly | MHM Digital,Ideal for getting started with basic needs.
